"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,13,5.59479608862119,0.222894828128856,"[3.85, 7.35]",3.84852834359186,7.35057225486846,0.772130334127024,0.0509727735306126
"2","facebook_S",2,25,3.09321888748417,0.145012451969812,"[1.6, 4.59]",1.5982331450048,4.59114305539129,0.710413027351788,0.0445831915665663
"3","facebook_S",3,31,3.75945166386455,0.113917570276974,"[2.47, 5.06]",2.46594383129376,5.05663256308569,0.623952229368789,0.0387736685912071
"4","facebook_S",4,8,1.75120631715334,0.279385848368122,"[0, 3.63]",0,3.62577457493531,0.739185474612852,0.0515570254965759
"5","facebook_S",5,41,1.76231025230402,0.106458959146751,"[0.39, 3.14]",0.387432304626187,3.14284499120266,0.673305576469097,0.0414345842375219
"6","ooh_S",1,13,0.359936577020678,0.0212361993573123,"[0.19, 0.53]",0.191553107284198,0.525208685039181,0.0735643524930528,0.00485640689637464
"7","ooh_S",2,25,0.449701821855063,0.00901711556774275,"[0.36, 0.54]",0.356981125666082,0.543085244169061,0.0441746641853528,0.00277225703912813
"8","ooh_S",3,31,0.363531041047432,0.00820547730280162,"[0.27, 0.46]",0.269810063248447,0.456417252426175,0.044943250138411,0.00279286555004596
"9","ooh_S",4,8,0.463586625092981,0.0246754066437785,"[0.3, 0.63]",0.299055914610457,0.629122413873171,0.0652849894788289,0.00465289371939769
"10","ooh_S",5,41,0.413442746369715,0.00786976179629413,"[0.31, 0.51]",0.311253664662659,0.514941937285654,0.049772743838535,0.00306296727575823
"11","print_S",1,13,2.61141314964261,0.120950941191829,"[1.67, 3.57]",1.66596980424181,3.56630778300885,0.418986350735045,0.027659703840779
"12","print_S",2,25,1.57569875128283,0.0529163383017199,"[1.03, 2.12]",1.03123208253833,2.12337162761375,0.259236055791415,0.0162688046127096
"13","print_S",3,31,1.98055571527319,0.030631917125063,"[1.63, 2.33]",1.62942027572878,2.32604470632484,0.167777919890258,0.0104260633371372
"14","print_S",4,8,1.61737297285278,0.0333452795880866,"[1.39, 1.84]",1.39462713415507,1.84066475612679,0.0882233171879955,0.006287719761088
"15","print_S",5,41,1.47481867508604,0.0388909073301893,"[0.97, 1.98]",0.971138411155049,1.97772818348558,0.245967694867873,0.0151366177986493
"16","search_S",1,13,3.22102108249212,0.0976131038989699,"[2.45, 3.99]",2.45499279430317,3.98865501087364,0.338141710875031,0.022322683215359
"17","search_S",2,25,2.45199872149736,0.0788361617009084,"[1.64, 3.27]",1.63871467640827,3.26581308379607,0.386216738893542,0.0242376958098473
"18","search_S",3,31,2.63445784015419,0.0610031081843411,"[1.94, 3.33]",1.94095178272358,3.32827126814803,0.334127784304917,0.0207633843841847
"19","search_S",4,8,1.4420743582253,0.205489365096675,"[0.07, 2.82]",0.0710809271543722,2.819775461446,0.543673757114359,0.0387478994800035
"20","search_S",5,41,1.81096167004549,0.0686831858801092,"[0.92, 2.7]",0.924051091970682,2.70173634500482,0.434390608675723,0.0267319845493493
"21","tv_S",1,13,1.23548351122741,0.0329679482764097,"[0.98, 1.49]",0.976737022496084,1.49471764814765,0.114204322872089,0.00753928556965394
"22","tv_S",2,25,1.14437503291765,0.0203079659003454,"[0.94, 1.35]",0.935171950047555,1.35430776616069,0.0994883083393733,0.00624355992719077
"23","tv_S",3,31,1.09486847932964,0.017060001950342,"[0.9, 1.29]",0.90070672618025,1.28868159879771,0.0934414789928446,0.00580664475356713
"24","tv_S",4,8,1.36207823035981,0.0360370761268103,"[1.12, 1.6]",1.12230101331644,1.60434500685845,0.0953451414094428,0.00679529572081718
"25","tv_S",5,41,0.932520638947653,0.016558566149248,"[0.72, 1.15]",0.717984249396101,1.14655957649713,0.104725567636375,0.00644471174114927
